,Tweet,Sentiment,Prediction,0.8695
20, jenrick &amp his pals will continue to get away with this unless &amp until people kick up a real fuss.… ,Positive,Positive,0.8695
21,Automobile sales recovery at risk as covid19 spreads in nonmetros  ,Neutral,Neutral,0.8695
22,Enough said likeagirl nojokefootball NFL COVID19 ,Neutral,Neutral,0.8695
23,As the COVID19 pandemic continues to ravage the country one of the most alarming facts is that health care worker… ,Positive,Positive,0.8695
24,Leakage on oxygen pipe was reported in Covid19 Isolation Ward of MKCG in Berhampur. Oxygen supply was temporarily… ,Neutral,Neutral,0.8695
25,¡GolpedeRemoya sabes ponte la mascarilla.Disponible en mis tiendasRowingStrikeyou know put on the mask.Av… ,Neutral,Neutral,0.8695
26,Politicians caught in the middle not for the first time covid19 ,Positive,Positive,0.8695
27,Even as the latest experimental Coronavirus Covid19 vaccine appeared to show promise US President Donald Trump … ,Positive,Positive,0.8695
28, MahaVinaashAghadi of Congress failed Maharashtra people against COVID19 Not a single Rupee help from… ,Negative,Negative,0.8695
29,Ms. Sangma from Damalgre village SouthWest Garo Hills of Meghalaya received Rs.1500 in her JanDhan account du… ,Neutral,Neutral,0.8695
30,Another clowntrump is the reason why 145000 Americans are dead from COVID19 in 4 mosHe… ,Negative,Neutral,0.8695
31,For professional legal advice NdlozijoinsDA CassperForgivesAka COVID19 COVID19SA ,Positive,Positive,0.8695
32,The science behind the Oxford vaccine Read this and more in today's TOICoronaLetter Your Covid19 daily briefin… ,Positive,Positive,0.8695
33,Hope In The Worldwide Storm Full video &gt ​ ​30days30videos​ ​MessageToChristians​… ,Positive,Positive,0.8695
34,As the Covid19 crisis has developed we have adapted our process and taken measures to protect truck drivers and o… ,Positive,Positive,0.8695
35,CHP to hold general convention amid COVID19 measures ,Positive,Positive,0.8695
36,Annapurna Canteens are helping citizens especially from low income groups stay healthy by providing hygienic food… ,Positive,Positive,0.8695
37,Wearing the right type of facemask can help protect you and your community against COVID19Just a friendly remin… ,Positive,Positive,0.8695
38,Read today'sCOVID19 briefing for updates on the property and RealEstate industry and sign up here… ,Neutral,Neutral,0.8695
39,South &amp SouthEast Asia with close to four times the population of the 19 worstaffected European nations accounts… ,Neutral,Neutral,0.8695
40,Migrant worker airlifted by Sonu Sood during lockdown names shop after actor Covid19… ,Neutral,Neutral,0.8695
41,Meeting on IPL expected in a week10 days. There'll be discussions on date scheduling operational aspects. Lookin… ,Negative,Negative,0.8695
42,Flanders NewsMarc Noppen director Brussels University Hospital linked to the VUB UniversityBrussels has sound… ,Neutral,Neutral,0.8695
43,Trump said Covid19 testing 'creates more cases.' We did the mathSTAT Florida coronavirus testing cases… ,Positive,Positive,0.8695
44,Plasma Therapy For COVID19 Patients Begins In Ganjam Odisha ,Neutral,Neutral,0.8695
45,How are traditional tactics for holding decision makers accountable shifting as a result of COVID19 Join us tod… ,Neutral,Neutral,0.8695
46, Sir I have heard thatin GMCH outdated testing kits are being used. One guy when pointed out the sa… ,Negative,Neutral,0.8695
47,How Well Do Masks Work Schlieren Imaging In Slow Motionhelpful YouTube video  Covid19 MaskUp ,Negative,Neutral,0.8695
48, Recency BiasTill May everyone was deathly afraid of COVID19 as mortality rates were high. Als… ,Negative,Negative,0.8695
49,fair pointWill the Left be proved wrong again on Russia report And admit it… ,Positive,Positive,0.8695
50,Results of seroprevalence study show that on average across Delhi prevalence of IgG antibodies is 23.48%. Study… ,Negative,Negative,0.8695
51,South America is giving lame spanish songs billions of views on YouTube . .Imagine if Africans had the same… ,Negative,Positive,0.8695
52, You have failed us. You have led Georgia into dangerous territory. You have made masks political.… ,Negative,Positive,0.8695
53,If you cough you are looked at different. If you are from an “epicentre” you are looked at as a possible carrier.… ,Neutral,Neutral,0.8695
54,I’m actually beginning to wonder if JobShirkerTrump see COVID19 as a way to… ,Neutral,Positive,0.8695
55,Breaking The spread of COVID19 is growing at Frankston police station as 7 officers test positive. 1 officer at… ,Positive,Positive,0.8695
56,UK debt climbs in June amid coronavirus pandemic. COVID19 debt government UK  ,Neutral,Neutral,0.8695
57,Skip 2020 . . . In 1752 Britain decided to abandon the Julian calendar in favour of the Gregorian. By doing so 3 S… ,Neutral,Neutral,0.8695
58,Wear your mask the right way to protect yourself and the others around youCOVID19 Pandemic WearMask… ,Positive,Positive,0.8695
59,HRZone Culture change in the coronavirus era is about ‘meteorology’ not ‘archaeology’  ,Neutral,Neutral,0.8695
60,Important story for Delhi sero survey reveals 23.48% have developed IgG antibodies due to exposure Covid19. That… ,Positive,Positive,0.8695
61,Financial Recovery Starts Now With Good Cashflow Planning and Ramped Up Digital Marketing SME TV  … ,Positive,Positive,0.8695
62,We're committed to building back betterThank you for your generosity so farClick to Donate… ,Neutral,Neutral,0.8695
63,Help slow the spread of COVID19 and identify at risk cases sooner by selfreporting your symptoms daily even if y… ,Negative,Negative,0.8695
64,The governments and organizations that built their COVID19 ContactTracing apps on GoogleApple Bluetooth tech ar… ,Neutral,Neutral,0.8695
65,LIVE at 400 PMMedia briefing on the current COVID19 situation in the countryIndiaFightsCoronaNational Me… ,Positive,Positive,0.8695
66,Our wonderful government.. just making things up as they go along. COVID19 ,Positive,Positive,0.8695
67,As businesses are VERY slowly returning to the new normal how can WPG help you get your business prepared to encou… ,Negative,Positive,0.8695
68,"Post COVID19 AugmentedReality is getting a lot of attention but it is also a ""Tough Reality"" with a lotof cha… ",Negative,Neutral,0.8695
69,POWERProfit taking and short selling weighed on the emissions prices yesterday which eroded Friday’s gains. Str… ,Neutral,Neutral,0.8695
70,“Poverty is like punishment for a crime you didn't commit.” ........faujikealfaaz helpingothers… ,Neutral,Neutral,0.8695
71,Choice is yoursWearADamnMask COVID19 ,Neutral,Neutral,0.8695
72,"Covid19 &amp Autism ~Stressed and AnxiousFor Help &amp SupportWe're just a ""Click"" Away.....… ",Neutral,Neutral,0.8695
73,If the virus gas no place to go it diesStopTheSpread covid19 PutOnMask WashYourHands CoverYourMouth,Neutral,Neutral,0.8695
74, Effectually utilising social media to create awareness about the failure of the Government is a welcome initia… ,Positive,Positive,0.8695
75,Our COVID19 adjusted numbers for the WorldPovertyClock indicate how the virus has impacted poverty numbers in co… ,Neutral,Neutral,0.8695
76,2000 plus cases in UP today 200 plus in lko and knp. COVID19 ,Neutral,Neutral,0.8695
77,Money Spent on Covid19 palliative“It was not N1.5bn please. The figure is shown clearly. It is N1.32bn” he argu… ,Positive,Positive,0.8695
78,niokoenikuokoeWEAR YOUR MASK I WEAR MINE. WASH YOUR HANDS I WASH MINE.KEEP SOCIAL DISTANCE AS I DO.… ,Positive,Positive,0.8695
79,Current corona crisis is a very critical time for everyone. We have to stay home to protect ourselves from COVID19… ,Neutral,Neutral,0.8695
80,As much as I love sports I'm not sure if it's a good idea to start a season under these circumstances The players… ,Positive,Positive,0.8695
81,Scenes from a mockumentary. Six people have tested positive for coronavirus in an outbreak at a test and trace… ,Positive,Positive,0.8695
82,COVID19 Equity markets rebound on EU optimism gold edges higher ,Positive,Positive,0.8695
83, You might consider using a nonscented laundry detergent if you are sensitive to perfumes so it is easier to wear… ,Positive,Positive,0.8695
84,Cyprus Epidemiological risk assessment of countries concerning Covid19 dated 2072020 More info … ,Positive,Positive,0.8695
85, Disposable blue surgical masks cannot be laundered or cleaned and should be thrown away when it is visibly soile… ,Neutral,Neutral,0.8695
86,Meeting on IPL expected in a week10 days. There'll be discussions on date scheduling operational aspects. Looking… ,Negative,Negative,0.8695
87,How do I clean my face mask Bandannas face scarves and masks made of fabric such as cotton can be washed in… ,Positive,Positive,0.8695
88,Current corona crisis is a very critical time for everyone. We have to stay home to protect ourselves from COVID19… ,Neutral,Neutral,0.8695
89,You think he enjoyed saying that  JoeBiden PresidentBiden PresidentTrump COVID19 COVID19 COVID hoax… ,Positive,Positive,0.8695
90,Travel insurers start to incorporate COVID19 cover ...resumption of travel insurance s… ,Neutral,Neutral,0.8695
91,The impact of COVID19 poses a huge setback for genderequality. We call on all governments to have a genderres… ,Positive,Positive,0.8695
92,Valuable feedback from our patient.We are doing our bit so can you Stay home stay safeCovid19 Stayhome… ,Neutral,Neutral,0.8695
93,BREAKINGDELHI SERO SURVEY REVEALSNearly 6 mnths into epidemic 23.48% of the people infected in Delhi with… ,Neutral,Neutral,0.8695
94,First day of school. Kids were advised about social distancing and hygiene then stuffed into the school chapel for… ,Positive,Positive,0.8695
95,President Magufuli Tanzanians Prayed To God And Now The Country Is Covid19 Free․  ,Neutral,Neutral,0.8695
96,I will not be surprised if Caroline Mutoko contracts COVID19. I hope she is a MAN enough to BATH.,Positive,Positive,0.8695
97,Positive or NegativeResidents of Khandagiri in Bhubaneswar narrate their shocking experience of how their… ,Negative,Neutral,0.8695
98,As COVID19 lockdowns continue in the country will there be further earnings downgrade post the Q1FY21 results… ,Neutral,Neutral,0.8695
99,Technology put to right use at one of the textile showrooms in TN. An automated mannequins draped in saree detects… ,Positive,Positive,0.8695
100,HOW DO I START HOW DO I REGISTER CAN I ALSO EARN FROM 100% FIXED MATCHES PLATFORM… ,Positive,Positive,0.8695
101,“This cloud which stays around in the air it may contain the virus.”What are the risks of Covid19’s aerosol tra… ,Neutral,Neutral,0.8695
102,You can still I believe apply to participate in the Oxford COVID19 vaccine trial here ,Neutral,Positive,0.8695
103, together with a Group of International Experts to Discuss How Governments Health and Travel Organiza… ,Neutral,Neutral,0.8695
104,This thread now this is from the medical perspective but medical supply chains are going through equal flashba… ,Neutral,Neutral,0.8695
105,Telangana India has reported reduction of 624 active COVID19 cases in last 24 hours. Currently there are 12764… ,Negative,Positive,0.8695
106,Why is the government playing with the lives of students and their parents They have no right to endanger lives. I… ,Negative,Positive,0.8695
107,Hold a public inquiry into the Government's handling of the Covid19 pandemic Covid19Sign the Petition… ,Neutral,Neutral,0.8695
108,Help slow the spread of COVID19 and identify at risk cases sooner by selfreporting your symptoms daily even if y… ,Negative,Negative,0.8695
109,Thanks for yet another added win to my bet record. You really an Amazing and honest man to deal with.… ,Positive,Positive,0.8695
110,bbnlockdown buhari COVID19 NDDCHearing MTVHottest IStandWithTucker PakistanMovingForward… ,Neutral,Neutral,0.8695
111,Current corona crisis is a very critical time for everyone. We have to stay home to protect ourselves from COVID19… ,Neutral,Neutral,0.8695
112, Sign “Support A Public Mask Requirement” and I’ll deliver a copy to your officials  No… ,Neutral,Neutral,0.8695
113,A vaccine being developed by Oxford University scientists looks promising London rents experienced a record fall i… ,Positive,Positive,0.8695
114,The. Voice. Of. Reason on COVID19 ,Neutral,Neutral,0.8695
115,Maui Alert Reveals How Organized Crime Has Kept Thousands of Hawaii Residents from CARES unemployment money.… ,Neutral,Neutral,0.8695
116,As if we don’t already have intolerant &amp selfrighteous bigots all across the country. what purpose does this ser… ,Neutral,Neutral,0.8695
117,From infrastructure cars technology &amp sports Germans have ruled the roost in the COVID19 pandemic too they hav… ,Neutral,Neutral,0.8695
118,India's first Covid19 vaccine Covaxin undergoing trial. Here are the updates  ,Positive,Positive,0.8695
119,In light of covid19 ARCH partners find alternative ways to visit the project cities and discuss with local stakeh… ,Positive,Positive,0.8695
120,Women leaders around the world are shining examples of effective and successful management of the COVID19 pandemic… ,Positive,Positive,0.8695
121,2 new deaths in Moldova 837 GMT coronavirus CoronaVirusUpdate COVID19 CoronavirusPandemic,Positive,Positive,0.8695
122,What can companies do to help customer service reps navigate through the COVID19 pandemic Read this article to kn… ,Neutral,Neutral,0.8695
123,It's kind of amusing to watch celebs trying to upstage each other &amp IMPORTANT WORLDLIFE ISSUES for TRENDING top sp… ,Positive,Positive,0.8695
124,The 3rd VNR2020 training kicked off today coreorganized by &amp . Recovering from… ,Neutral,Neutral,0.8695
125,Read Parliament’s House Chairperson Cedric Frolick has tested positive for COVID19 COVID19 … ,Positive,Positive,0.8695
126,Current corona crisis is a very critical time for everyone. We have to stay home to protect ourselves from COVID19… ,Neutral,Neutral,0.8695
127, ready to deal with the deluge of COVID19 admissions ,Positive,Positive,0.8695
128,Meeting on IPL expected in a week10 days. There'll be discussions on date scheduling operational aspects. Looking… ,Negative,Negative,0.8695
129,Wave of promising study results raise hopes for coronavirus vaccines coronavirus… ,Positive,Positive,0.8695
130,covid19strong decision taken by West Bengal GovernmentFor Full Story  ,Positive,Positive,0.8695
131,But IPL is not..  COVID19 T20WC IPL2020 ,Neutral,Neutral,0.8695
132, you have an unaccredited PhD. fraud COVID19,Neutral,Neutral,0.8695
133,I just published Dear Anti Mask Protesters  COVID19 Covid19UKAntiMask… ,Neutral,Neutral,0.8695
134,Why might athletes with COVID19 symptoms need cardiac testing before playing gamesexplains… ,Negative,Positive,0.8695
135,Ensuring services for people with advanced HIV disease is more important than ever as we continue to learn more a… ,Positive,Positive,0.8695
136,An April 2020 survey on impact of COVID19 lockdown on EUwork shows36.8% started work from home 28.5% lost t… ,Neutral,Neutral,0.8695
137,"""When my daughter caught fever I took her to SoW for a checkup while praying that she doesn't catch COVID19. T… ",Neutral,Neutral,0.8695
138,leila out now on youtube GOAT CarolineMutoko KameneAndJalas Babu Tuskys Kanye Thika Drake Ruto Churchill… ,Neutral,Neutral,0.8695
139,Rajasthan High Court verdict on SachinPilot's plea at 2 PM.gets you more on this.ITVideo… ,Positive,Positive,0.8695
140,Saaho made it to top 5 Indian films in Japan despite of limited screening due to Covid19 1. Muthu ¥450 milli… ,Positive,Positive,0.8695
141,listen to suzanna remix on youtubeyour retweet much appreciated. SautiSolCar… ,Positive,Positive,0.8695
142,Meeting on IPL expected in a week10 days. There'll be discussions on date scheduling operational aspects. Looking… ,Negative,Negative,0.8695
143,As per Robert Redfield Director of CDC Center for disease control and prevention if everyone puts on mask for 4… ,Negative,Positive,0.8695
144,VICCO Director Sanjeev Pendharkar to impart his 45 years of entrepreneur skills via online course on ‘Marketing and… ,Neutral,Neutral,0.8695
145,Thanks toand reporter Romita Datta for highlighting some of our recent initiativesClick on the link… ,Positive,Positive,0.8695
146,Given Delhi's population of 2 crore this implies nearly 47 lakh in the city have already had COVID19 and they ha… ,Positive,Positive,0.8695
147,Govt has warned against the use of N95 respirators with valves. A look at how N95 masks work and why masks with… ,Neutral,Neutral,0.8695
148, Hope u hv not lost ur IQ in COVID19 pandemic BJP president pic is accompanied in the news storyWhe… ,Neutral,Neutral,0.8695
149,What a beautiful Sunny Day 2day in Namma BengaluruExactly after a week 2day I went out only 2 buy VegetablesW… ,Positive,Positive,0.8695
150,Delhi Young sportsperson from underprivileged families are finding it hard to continue their sport amid COVID19.… ,Negative,Negative,0.8695
151,Will we have a COVID19 Vaccine anytime soon  viaCovaxin COVID19 COVID19vaccine,Neutral,Neutral,0.8695
152,Watch out for my article on FOI and COVID19 which will be up on the blog tomorrow recounting all developments up… ,Neutral,Neutral,0.8695
153,Where does trade go form here Here are six sectors expected to grow in 2020. But outside of these we expect… ,Negative,Positive,0.8695
154,The State Of The Global Race For A Coronavirus VaccineAxios COVID19 &gt&gt Timeline  &gt&gt R… ,Neutral,Neutral,0.8695
155,"Bihar A cultural program was organised in Nalanda y'day amid COVID19. DSP Nalanda said ""Based on viral video pi… ",Positive,Positive,0.8695
156,Mr. B. Prabhakar a BSNL employee shares his experience of recovering COVID19 at NatureCureHospital.… ,Neutral,Neutral,0.8695
157,The runners of COVID19 vaccines development. COVID19 ,Neutral,Neutral,0.8695
158,Hold a public inquiry into the Government's handling of the Covid19 pandemic Covid19Sign the Petition… ,Neutral,Neutral,0.8695
159,Justifying a socially unsustainable spatially prohibitive and financially ridiculous form of housing on the basis… ,Negative,Positive,0.8695
160,This is most ridiculous &amp harmful decision Gu… ,Positive,Positive,0.8695
161,Companies are enforcing their own contact tracing to track employees  Sonarax developed a c… ,Positive,Positive,0.8695
162,CNN did a special report on the COVID19 timeline. I was curious how much blame they would put on Trump. I put the… ,Positive,Positive,0.8695
163,The regulations the BritishColumbiagovernment have put in place should be enough but without proper enforcement… ,Neutral,Neutral,0.8695
164, Eurosceptic UK media will always revel in perceived EU disharmony. This prolonged summit will be gris… ,Neutral,Neutral,0.8695
165,What is the status of global sexdisaggregated COVID19 data Some progress as of July 9 12 LMIC countries publis… ,Neutral,Neutral,0.8695
166,ICC T20 Men’s World Cup Postponed Due to COVID19ICCT20MensWorldCupCOVID19 ,Negative,Negative,0.8695
167,Tech companies do not selfregulate.We need the   now … ,Neutral,Neutral,0.8695
168,Brazil set to test Chinese coronavirus vaccine  newsupdate miscellaneous covid19,Neutral,Neutral,0.8695
169,COVID19bbnlockdownonlyfansbabeTR… ,Neutral,Neutral,0.8695
170,Choose a pathway of beauty serenity and reflection. As pandemic takes away our peace we need this kind of holiday… ,Positive,Positive,0.8695
171,Idiom of the day house cooling partyA party thrown to commemorate when someone leaves an apartment flat or ho… ,Negative,Negative,0.8695
172,AmericaPhysically fighting over a mask &amp the rights of their faces.People being left with nothing including fo… ,Neutral,Neutral,0.8695
173,ONCE AGAINSEEN WEARING A MASK IN PUBLIC TO PROTECT FROM COVID19 ,Neutral,Neutral,0.8695
174,RUMOR Prior to the COVID19 outbreak MarvelStudios may have reportedly been planning for… ,Neutral,Neutral,0.8695
175, YOU SUCK warthog balls for having door greeters enforce your mask decision Seriously Grandma is who yo… ,Negative,Neutral,0.8695
176,Parents expressing their thanks as food provided by Equip is distributed in their time of need at GS School Rem… ,Positive,Positive,0.8695
177,With tightening of lockdown measures without cushioning the needy it's not good. Donate and help a child headed fam… ,Negative,Positive,0.8695
178,The economic fallout due to covid19 is hitting women harder as women employed sectors are greatly affected. These… ,Positive,Positive,0.8695
179,Give your comments on the news item New election laws to be crafted through JLAC. What role will Wanjiku play… ,Positive,Positive,0.8695
180,A speedy recovery to Gwede Tiger Mantashe following his hospitalization due to CoronaVirus. COVID19 COVID19inSA,Negative,Neutral,0.8695
181,I request and to come up with an idea to issue CBSE affiliations for opening up of new… ,Neutral,Neutral,0.8695
182,Viruses typically evolve and change quickly. We heard that Covid19 had spawned separate strains by around February… ,Positive,Positive,0.8695
183,Nagaland Hornbill Festival unlikely this year due to COVID19 outbreak… ,Negative,Negative,0.8695
184, Unfortunately American ethnocide prevents us from taking necessary precautions. COVID19resurgence… ,Neutral,Neutral,0.8695
185,Maybe he’s letting it slip that only those who are Vaccinated for COVID19 can vote Covid1984 ChinaVirus,Neutral,Neutral,0.8695
186,New York experienced its first day with ZERO COVID19 deaths on July 13. Quite an achievement from peak of 597 deat… ,Positive,Positive,0.8695
187,In order to contain COVID19 spread China Xinjiang's Urumqi government offers free COVID19 tests for all resident… ,Positive,Positive,0.8695
188,The professor on GMB Professor Savlescu says 200000 have died from lockdown .... anyone any idea if that is rig… ,Neutral,Neutral,0.8695
189,"""Not being able to run for 5 weeks gave me a newfound appreciation &amp love for the sport. COVID19 has also been a… ",Positive,Positive,0.8695
190,. has engaged more than 300 counsellors for students and a dedicated email id has been created in each schoo… ,Positive,Positive,0.8695
191,I was born in Bsltimore and love theand thebut I just became afan tonight bc they… ,Positive,Positive,0.8695
192, … ,Neutral,Neutral,0.8695
193,Current corona crisis is a very critical time for everyone. We have to stay home to protect ourselves from COVID19… ,Neutral,Neutral,0.8695
194,You can have all it takes to win… Cop these IPUBG Mobile Wireless 10 Gamepad for a thrilling gaming experience now… ,Positive,Positive,0.8695
195, Delighted that 900000 front line workers are due to get pay rises for their eff… ,Positive,Positive,0.8695
196,I’m optimistic that after the COVID19 crisis pattern of economic growth of first decade of 21st century will reoc… ,Positive,Positive,0.8695
197,Anyone traveled to Delhi from within India by air recently Care to share your experience andor any tipsAsking… ,Neutral,Neutral,0.8695
198,Coronavirus &amp Nelson Mandela Bay E Cape Health Department records zero Covid19 deaths in Nelson Mandela Bay since… ,Neutral,Neutral,0.8695
199,A new lawsuit could prevent schools from opening on the proposed date from the state Tampa family ask for your hel… ,Positive,Positive,0.8695
200, Wtf. Mass Insanity on display. Oh and these kinds of gatherings would NOT spread covid19 AT ALL ,Neutral,Neutral,0.8695
201,Think The central And State Govt's are Decided to take the worldfirst position in COVID19 casesthat's whyGov… ,Neutral,Neutral,0.8695
202,The rightwing especially trump don't read graphs well either. Over his head.COVID19 coronavirus ,Neutral,Neutral,0.8695
203,Help slow the spread of COVID19 and identify at risk cases sooner by selfreporting your symptoms daily even if y… ,Negative,Negative,0.8695
204,So called expert on GMB just said in response to mandatory COVID19 vaccine “We’ve Never had a successful vaccine… ,Positive,Positive,0.8695
205,MaskFace cover is your first armour against Corona virus. Wear it at all times. Protect yourself and your family.… ,Positive,Positive,0.8695
206,Share with your network.see you therebbnlockdownCOVID19 onlyfansbabeemployability futureofwork… ,Neutral,Neutral,0.8695
207,Remember to keep washing your hands with soap &amp water or using hand sanitiser to prevent the spread of COVID19W… ,Neutral,Neutral,0.8695
208,Steps to clean reusable masks.COVID19 IndiaFightsCorona SafetyFirst StaySafe WearAMaskSaveALife handwashing… ,Positive,Positive,0.8695
209,COVID19 and Manufacturers' COVID19 challengescuttingslashing dividendschart,Neutral,Neutral,0.8695
210,Telemedicine services by Common Services Centre have become immensely popular during COVID19 lockdown. From 23rd… ,Positive,Positive,0.8695
211,WEC UK &amp Ireland Pray that many churches will see opportunities for service within COVID19 restrictions. Pray t… ,Positive,Positive,0.8695
212,Women leaders around the world are shining examples of effective and successful management of the COVID19 pandemic… ,Positive,Positive,0.8695
213,Buddhistdoor news National Museum of Korea Reopens with Extensive Exhibitions Including Buddhist TreasuresRea… ,Neutral,Neutral,0.8695
214,Instead of people clamoring for lockdown which is stupid.should continue to encourage more people to we… ,Positive,Positive,0.8695
215, RebelStar Prabhas MassEasily would have been in Top3 in the worst ca… ,Negative,Negative,0.8695
216,You should keep a social distance of 2 metres from people outside your household or support bubble or keep a 1 met… ,Positive,Positive,0.8695
217,We have partners willing to fund apprenticeships for hospitality businesses in London go to… ,Positive,Positive,0.8695
218,In supporting local communities in Manus Province to keep safe from COVID19 we were pleased to assist Round 1… ,Positive,Positive,0.8695
219,.has tested negative forCovid 19 Amir had made himself available for the England tour after th… ,Positive,Positive,0.8695
220,NRM Registrars Cautioned on Transparency ChimpReportsNews UgandaNews Uganda Featured 2021Elections… ,Neutral,Neutral,0.8695
221,Large Scale COVID19 ExperimentGerman scientists are hosting a pop concert for 4000 people to study how the cor… ,Positive,Positive,0.8695
222,If a covid19 vaccine would be available only by 2021 would there be a need for it Sero &amp antibody surveys are su… ,Positive,Positive,0.8695
223,Ayurveda is an ancient system of medicine which deals with the prevention treatment and nonrecurrence of diseases… ,Neutral,Neutral,0.8695
224,We the students are the future of our state our country. If we become victims of the deadly virus COVID19 and… ,Negative,Negative,0.8695
225,Food for thought...soCalifornia governorhas released thousands of inmates to ‘slow the spread’ of… ,Negative,Neutral,0.8695
226,Indonesia introduces a price limit for COVID19 Rapid Antibody Tests to ensure transparency in the market and impro… ,Neutral,Neutral,0.8695
227,COVID19 T20 World Cup postponed due to coronavirus says ICC ,Negative,Negative,0.8695
228,Help slow the spread of COVID19 and identify at risk cases sooner by selfreporting your symptoms daily even if y… ,Negative,Negative,0.8695
229,Forecast chain wristwatch8500We deliver nationwideCallWhatsApp 07010658053 ,Neutral,Neutral,0.8695
230,COVID19 and Manufacturers' COVID19 challenges survey chart ,Neutral,Neutral,0.8695
231,National Use of valved respirator N95 masks detrimental does not prevent virus from escaping out of mask says… ,Neutral,Neutral,0.8695
232,CricketThe Indian women’s cricket team has pulled out of the proposed tour of England due to the COVID19… ,Negative,Positive,0.8695
233,How can we make postpandemic COVID19 cities smarter ,Neutral,Neutral,0.8695
234,Wear your mask properly. It is being observed that many people are taking this lightly. But remember it's no joke… ,Positive,Positive,0.8695
235,Do you know your Covid19 status Your your status and protect yourself and the ones you loveStateOfTesting COVID19KE COVID19,Neutral,Neutral,0.8695
236, Sign “COVID19 Medicaid FMAP bump &amp increased HCBS funding” and I’ll deliver a copy to your officials… ,Neutral,Neutral,0.8695
237,If 95% of Americans wore face masks in public it could prevent more than 45000 deaths by November 1. — I can’t b… ,Positive,Positive,0.8695
238,This is worrying fromon the displacement of millions following floods in Assam and Nepal. Her report… ,Neutral,Neutral,0.8695
239,How can the UK cope with both the effects of COVID19 and Brexit Take a closer view of the UK's economic outlook… ,Positive,Positive,0.8695
240,President Museveni will today Tuesday July 21st 2020 give an update on the COVID19 pandemic situation in the cou… ,Neutral,Neutral,0.8695
241,BBC NewsCounty Derry couple who tested positive warn against complacency  via … ,Positive,Positive,0.8695
242,This moron ontalking about the 200000 deaths from LOCKDOWN. NOT COVID19. Covid killed approx 30k people in… ,Negative,Positive,0.8695
243,WATCH Passersby halt to have a look at monitor lizard in Shankar Nagar Nagpur ,Neutral,Neutral,0.8695
244,DeparturesMag This writer visited Cancun amidst the Covid19 pandemic—here’s what it was like… ,Neutral,Neutral,0.8695
245,No need of captionkashmir covid19 pandemic coronavirus outbreak pandemic dead world lockdown who ,Negative,Positive,0.8695
246,Keep Hands Clean with Belux Antibacterial soap. antibacterial virus soap newsoap hands COVID19… ,Positive,Positive,0.8695
247,TRAFFIC reported on IndianWildLife during COVID19Crisis. Earth environment AnimalRights,Neutral,Neutral,0.8695
248,Register now to attend the next ITUGSR Regional Regulatory Roundtable for Asia and the Pacific under the theme of… ,Neutral,Neutral,0.8695
249,This graph is quite shocking. I had no idea workingage women were so much more at risk of… ,Negative,Positive,0.8695
250,How are you feeling.depression anxiety COVID19 selflove women EMS mindset mentalhealth therapy stress… ,Neutral,Neutral,0.8695
251,photograph photography man seniorcitizen selfie selfportrait mask facemask blackandwhite monochrome… ,Neutral,Neutral,0.8695
252,Forecast chain wristwatch8500We deliver nationwideCallWhatsApp 07010658053 ,Neutral,Neutral,0.8695
253,Recovery from COVID19 can steer the world toward a safer healthier and more inclusive path.Recovery must be equ… ,Positive,Positive,0.8695
254,My Theory As Trump &ampCo isareracists and falling deeply behind in 2020 polling COVID19 killing 140000… ,Negative,Negative,0.8695
